,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
33518,3636,KLBL,medium_airport,Liberal Mid-America Regional Airport,37.0442009,-100.9599991,2885.0,,US,US-KS,Liberal,yes,KLBL,LBL,LBL,,https://en.wikipedia.org/wiki/Liberal_Municipal_Airport,
33521,20322,KLBT,medium_airport,Lumberton Regional Airport,34.6099014282,-79.05940246579999,126.0,,US,US-NC,Lumberton,no,KLBT,LBT,LBT,http://www.lumbertonmunicipalairport.com/default.htm,https://en.wikipedia.org/wiki/Lumberton_Municipal_Airport,
33522,20323,KLBX,medium_airport,Texas Gulf Coast Regional Airport,29.108601,-95.462097,25.0,,US,US-TX,Angleton,no,KLBX,LJN,LBX,http://www.flylbx.org/,https://en.wikipedia.org/wiki/Texas_Gulf_Coast_Regional_Airport,Texas Gulf Coast Regional Airport
33524,3637,KLCH,medium_airport,Lake Charles Regional Airport,30.126100540161133,-93.22329711914062,15.0,,US,US-LA,Lake Charles,yes,KLCH,LCH,LCH,,https://en.wikipedia.org/wiki/Lake_Charles_Regional_Airport,
33525,20325,KLCI,small_airport,Laconia Municipal Airport,43.572701,-71.4189,545.0,,US,US-NH,Laconia / Gilford,no,KLCI,LCI,LCI,http://www.laconiaairport.com/,https://en.wikipedia.org/wiki/Laconia_Municipal_Airport,
33526,3638,KLCK,medium_airport,Rickenbacker International Airport,39.813801,-82.927803,744.0,,US,US-OH,Columbus,yes,KLCK,LCK,LCK,http://rickenbackerinlandport.com/en/rickenbacker-international-airport/,https://en.wikipedia.org/wiki/Rickenbacker_International_Airport,Lockbourne Army Air Field
33527,20326,KLCQ,small_airport,Lake City Gateway Airport,30.1819992065,-82.57689666750001,201.0,,US,US-FL,Lake City,no,KLCQ,LCQ,LCQ,http://www.lcfla.com/index.php/departments/gateway-airport-klcq,https://en.wikipedia.org/wiki/Lake_City_Gateway_Airport,Lake City Municipal Airport
33528,20327,KLDJ,small_airport,Linden Airport,40.617401123,-74.2445983887,23.0,,US,US-NJ,Linden,no,KLDJ,LDJ,LDJ,http://www.lindenairportnj.com/,https://en.wikipedia.org/wiki/Linden_Airport,"Manhattan, New York City, NYC"
33529,20328,KLDM,small_airport,Mason County Airport,43.96250153,-86.40789795,646.0,,US,US-MI,Ludington,no,KLDM,LDM,LDM,,https://en.wikipedia.org/wiki/Mason_County_Airport_(Michigan),
33531,3639,KLEB,medium_airport,Lebanon Municipal Airport,43.6260986328,-72.30419921880001,603.0,,US,US-NH,Lebanon,yes,KLEB,LEB,LEB,http://flyleb.com/,https://en.wikipedia.org/wiki/Lebanon_Municipal_Airport_(New_Hampshire),
33532,20329,KLEE,medium_airport,Leesburg International Airport,28.82309914,-81.80870056,76.0,,US,US-FL,Leesburg,no,KLEE,LEE,LEE,http://www.leesburgflorida.gov/index.aspx?page=45,https://en.wikipedia.org/wiki/Leesburg_International_Airport,Leesburg AAF
33533,20330,KLEM,small_airport,Lemmon Municipal Airport,45.9187011719,-102.106002808,2571.0,,US,US-SD,Lemmon,no,KLEM,LEM,LEM,http://www.lemmonsd.com/ray-kolb-field-airport.php,,Ray Kolb Field
33534,20331,KLEW,small_airport,Auburn Lewiston Municipal Airport,44.048500061,-70.2835006714,288.0,,US,US-ME,Auburn/Lewiston,no,KLEW,LEW,LEW,http://www.flytome.com/,https://en.wikipedia.org/wiki/Auburn/Lewiston_Municipal_Airport,NAAF Lewiston
33535,3640,KLEX,large_airport,Blue Grass Airport,38.0364990234375,-84.60590362548828,979.0,,US,US-KY,Lexington,yes,KLEX,LEX,LEX,http://www.bluegrassairport.com/,https://en.wikipedia.org/wiki/Blue_Grass_Airport,
33536,3641,KLFI,large_airport,Langley Air Force Base,37.082901001,-76.360496521,11.0,,US,US-VA,Hampton,no,KLFI,LFI,LFI,http://www.langleyafb.us/,https://en.wikipedia.org/wiki/Langley_Field,Langley Field
33537,20332,KLFK,medium_airport,Angelina County Airport,31.2339992523,-94.75,296.0,,US,US-TX,Lufkin,no,KLFK,LFK,LFK,http://www.angelinacounty.net/departments/airport,https://en.wikipedia.org/wiki/Angelina_County_Airport,
33538,3642,KLFT,large_airport,Lafayette Regional Airport,30.20529938,-91.98760223,42.0,,US,US-LA,Lafayette,yes,KLFT,LFT,LFT,http://www.lftairport.com/Home,https://en.wikipedia.org/wiki/Lafayette_Regional_Airport,
